"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Incline Chest Press (Machine)",,"",0,"warmup",45,7,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Incline Chest Press (Machine)",,"",1,"normal",65,10,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Incline Chest Press (Machine)",,"",2,"normal",65,11,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Incline Chest Press (Machine)",,"",3,"normal",70,7,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Seated Row (Machine)",,"",0,"normal",65,13,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Seated Row (Machine)",,"",1,"normal",70,10,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Seated Shoulder Press (Machine)",,"",0,"normal",55,9,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Seated Shoulder Press (Machine)",,"",1,"normal",55,6,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Chest Press (Machine)",,"",0,"normal",80,4,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Chest Press (Machine)",,"",1,"normal",75,5,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Crunch (Machine)",,"",0,"normal",55,14,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Crunch (Machine)",,"",1,"normal",60,12,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Crunch (Machine)",,"",2,"normal",60,10,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Lateral Raise (Machine)",,"",0,"normal",50,10,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Lateral Raise (Machine)",,"",1,"normal",50,8,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Lateral Raise (Machine)",,"",2,"normal",45,10,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Preacher Curl (Machine)",,"",0,"normal",40,11,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Preacher Curl (Machine)",,"",1,"normal",35,11,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Preacher Curl (Machine)",,"",2,"normal",30,10,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Triceps Extension (Machine)",,"",0,"normal",35,11,,,6
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Triceps Extension (Machine)",,"",1,"normal",40,10,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Triceps Extension (Machine)",,"",2,"normal",35,10,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Lat Pulldown (Machine)",,"",0,"normal",100,11,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Lat Pulldown (Machine)",,"",1,"normal",100,9,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Lat Pulldown (Machine)",,"",2,"normal",100,9,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Lat Pulldown (Machine)",,"",3,"normal",95,9,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Rear Delt Reverse Fly (Machine)",,"Partials",0,"normal",40,11,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Rear Delt Reverse Fly (Machine)",,"Partials",1,"normal",40,8,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Rear Delt Reverse Fly (Machine)",,"Partials",2,"normal",35,10,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Leg Press Horizontal (Machine)",,"",0,"warmup",85,7,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Leg Press Horizontal (Machine)",,"",1,"normal",133,11,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Triceps Extension (Cable)",,"",0,"normal",40,11,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Triceps Extension (Cable)",,"",1,"normal",40,10,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Shoulder Press (Dumbbell)",,"",0,"normal",20,10,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Incline Bench Press (Dumbbell)",,"",0,"normal",20,10,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Incline Bench Press (Dumbbell)",,"",1,"normal",24,6,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Iso-Lateral kneeling leg curl",,"",0,"normal",15,8,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Iso-Lateral kneeling leg curl",,"",1,"normal",15,9,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Iso-Lateral kneeling leg curl",,"",2,"normal",15,8,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Hip Thrust (Machine)",,"",0,"warmup",80,6,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Hip Thrust (Machine)",,"",1,"normal",140,11,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Hip Thrust (Machine)",,"",2,"normal",140,10,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Hip Thrust (Machine)",,"",3,"normal",140,9,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Leg Extension (Machine)",,"",0,"normal",95,11,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Leg Extension (Machine)",,"",1,"normal",95,8,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Leg Extension (Machine)",,"",2,"normal",90,12,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Leg Extension (Machine)",,"",3,"dropset",80,2,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Hip Adduction (Machine)",,"",0,"normal",70,13,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Hip Adduction (Machine)",,"",1,"normal",70,10,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Leg Raise Parallel Bars",,"",0,"normal",,10,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Crunch (Machine)",,"",0,"normal",55,13,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Crunch (Machine)",,"",1,"normal",55,4,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Seated Calf Raise",,"",0,"normal",30,10,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Seated Calf Raise",,"",1,"normal",30,10,,,
"Leg focused","27 Jan 2024, 10:56","27 Jan 2024, 12:38","","Seated Calf Raise",,"",2,"normal",30,10,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Bench Press (Barbell)",,"",0,"normal",60,8,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Bench Press (Barbell)",,"",1,"normal",70,13,,,8.5
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Bench Press (Barbell)",,"",2,"normal",70,9,,,9.5
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Seated Shoulder Press (Machine)",,"",0,"warmup",30,5,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Seated Shoulder Press (Machine)",,"",1,"normal",55,9,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Seated Shoulder Press (Machine)",,"",2,"normal",55,7,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Seated Shoulder Press (Machine)",,"",3,"normal",45,12,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Incline Chest Press (Machine)",,"",0,"normal",65,4,,,7
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Incline Chest Press (Machine)",,"",1,"normal",60,8,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Incline Chest Press (Machine)",,"",2,"normal",50,10,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Leg Raise Parallel Bars",,"",0,"normal",,13,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Crunch (Machine)",,"",0,"normal",60,11,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Crunch (Machine)",,"",1,"normal",55,9,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Seated Row (Machine)",,"",0,"normal",50,13,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Seated Row (Machine)",,"",1,"normal",60,11,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Lateral Raise (Machine)",,"",0,"normal",50,9,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Lateral Raise (Machine)",,"",1,"normal",50,7,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Lateral Raise (Machine)",,"",2,"normal",50,7,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Preacher Curl (Machine)",,"",0,"normal",40,10,,,
"Upper body push-ish","26 Jan 2024, 15:45","26 Jan 2024, 16:52","","Preacher Curl (Machine)",,"",1,"normal",40,6,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Lat Pulldown (Machine)",,"",0,"warmup",60,4,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Lat Pulldown (Machine)",,"",1,"normal",105,9,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Lat Pulldown (Machine)",,"",2,"normal",100,8,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Lat Pulldown (Machine)",,"",3,"normal",100,7,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Lat Pulldown (Machine)",,"",4,"normal",95,8,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",40,10,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Rear Delt Reverse Fly (Machine)",,"",1,"normal",40,7,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Rear Delt Reverse Fly (Machine)",,"",2,"normal",35,9,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Seated Row (Machine)",,"",0,"normal",70,9,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Seated Row (Machine)",,"",1,"normal",65,11,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Leg Press Horizontal (Machine)",,"",0,"warmup",77,3,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Leg Press Horizontal (Machine)",,"",1,"normal",133,10,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Leg Press Horizontal (Machine)",,"",2,"normal",133,9,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Leg Press Horizontal (Machine)",,"",3,"normal",133,13,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Triceps Extension (Cable)",,"",0,"normal",40,12,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Triceps Extension (Cable)",,"",1,"normal",40,10,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Triceps Extension (Cable)",,"",2,"normal",35,9,,,
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Preacher Curl (Machine)",,"",0,"normal",40,7,,,7
"Upper body pull-ish","24 Jan 2024, 15:55","24 Jan 2024, 16:59","","Preacher Curl (Machine)",,"",1,"normal",40,7,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Chest Press (Machine)",,"",0,"warmup",55,4,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Chest Press (Machine)",,"",1,"normal",80,9,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Chest Press (Machine)",,"",2,"normal",75,8,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Chest Press (Machine)",,"",3,"normal",70,9,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Seated Shoulder Press (Machine)",,"",0,"warmup",30,6,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Seated Shoulder Press (Machine)",,"",1,"normal",50,11,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Seated Shoulder Press (Machine)",,"",2,"normal",45,12,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Lat Pulldown (Machine)",,"",0,"normal",90,11,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Lat Pulldown (Machine)",,"",1,"normal",100,6,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Lateral Raise (Machine)",,"",0,"normal",50,8,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Lateral Raise (Machine)",,"",1,"normal",50,7,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Lateral Raise (Machine)",,"",2,"normal",47.5,9,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Incline Chest Press (Machine)",,"",0,"normal",60,10,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Incline Chest Press (Machine)",,"",1,"normal",60,6,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Incline Chest Press (Machine)",,"",2,"normal",50,7,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Triceps Extension (Cable)",,"",0,"normal",40,7,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Triceps Extension (Cable)",,"",1,"normal",30,9,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Triceps Extension (Cable)",,"",2,"normal",30,8,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Triceps Extension (Cable)",,"",3,"normal",25,9,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Preacher Curl (Machine)",,"",0,"normal",40,9,,,
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Preacher Curl (Machine)",,"",1,"normal",35,11,,,9.5
"Upper body push-ish","22 Jan 2024, 15:44","22 Jan 2024, 17:00","","Preacher Curl (Machine)",,"",2,"normal",30,9,,,
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Hip Thrust (Machine)",,"",0,"warmup",90,8,,,
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Hip Thrust (Machine)",,"",1,"normal",130,12,,,8
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Hip Thrust (Machine)",,"",2,"normal",130,8,,,7.5
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Hip Thrust (Machine)",,"",3,"normal",120,10,,,8
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Hip Thrust (Machine)",,"",4,"normal",120,11,,,
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Leg Raise Parallel Bars",,"",0,"normal",,4,,,6
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Leg Raise Parallel Bars",,"",1,"normal",,15,,,
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Crunch (Machine)",,"",0,"normal",60,12,,,
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Crunch (Machine)",,"",1,"normal",60,7,,,
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Leg Extension (Machine)",,"",0,"normal",90,13,,,
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Leg Extension (Machine)",,"",1,"normal",90,7,,,
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Leg Extension (Machine)",,"",2,"dropset",80,2,,,
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Leg Extension (Machine)",,"",3,"normal",80,9,,,
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Iso-Lateral kneeling leg curl",,"",0,"normal",15,8,,,
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Iso-Lateral kneeling leg curl",,"",1,"normal",15,6,,,
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Hip Adduction (Machine)",,"",0,"normal",70,11,,,9
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Hip Adduction (Machine)",,"",1,"normal",70,9,,,9
"Leg focused","21 Jan 2024, 13:05","21 Jan 2024, 14:29","Pretty intense (≈8.5/10)","Hip Adduction (Machine)",,"",2,"normal",65,8,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Chest Press (Machine)",,"",0,"warmup",55,8,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Chest Press (Machine)",,"",1,"normal",80,9,,,9
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Chest Press (Machine)",,"",2,"normal",75,10,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Chest Press (Machine)",,"",3,"normal",70,7,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Lateral Raise (Machine)",,"",0,"normal",47.5,13,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Lateral Raise (Machine)",,"",1,"normal",50,9,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Lateral Raise (Machine)",,"",2,"normal",47.5,7,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Lateral Raise (Machine)",,"",3,"normal",42.5,9,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Incline Chest Press (Machine)",,"",0,"normal",60,11,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Incline Chest Press (Machine)",,"",1,"normal",60,9,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Incline Chest Press (Machine)",,"",2,"normal",55,9,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Seated Shoulder Press (Machine)",,"",0,"normal",50,8,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Seated Shoulder Press (Machine)",,"",1,"normal",50,7,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Crunch (Machine)",,"",0,"normal",60,11,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Crunch (Machine)",,"",1,"normal",60,9,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Leg Raise Parallel Bars",,"",0,"normal",,14,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Leg Raise Parallel Bars",,"",1,"normal",,9,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Triceps Extension (Cable)",,"",0,"normal",40,8,,,
"Upper body push-ish","17 Jan 2024, 14:22","17 Jan 2024, 15:52","","Triceps Extension (Cable)",,"",1,"normal",35,7,,,
"Upper body pull-ish","13 Jan 2024, 10:21","13 Jan 2024, 11:27","","Seated Row (Machine)",,"",0,"normal",60,13,,,6
"Upper body pull-ish","13 Jan 2024, 10:21","13 Jan 2024, 11:27","","Seated Row (Machine)",,"",1,"normal",70,12,,,
"Upper body pull-ish","13 Jan 2024, 10:21","13 Jan 2024, 11:27","","Seated Row (Machine)",,"",2,"normal",70,10,,,
"Upper body pull-ish","13 Jan 2024, 10:21","13 Jan 2024, 11:27","","Lat Pulldown (Machine)",,"",0,"normal",105,8,,,
"Upper body pull-ish","13 Jan 2024, 10:21","13 Jan 2024, 11:27","","Lat Pulldown (Machine)",,"",1,"normal",100,8,,,
"Upper body pull-ish","13 Jan 2024, 10:21","13 Jan 2024, 11:27","","Lat Pulldown (Machine)",,"",2,"normal",100,8,,,
"Upper body pull-ish","13 Jan 2024, 10:21","13 Jan 2024, 11:27","","Lat Pulldown (Machine)",,"",3,"normal",100,10,,,
"Upper body pull-ish","13 Jan 2024, 10:21","13 Jan 2024, 11:27","","Leg Extension (Machine)",,"",0,"normal",95,8,,,
"Upper body pull-ish","13 Jan 2024, 10:21","13 Jan 2024, 11:27","","Leg Extension (Machine)",,"",1,"normal",90,7,,,
"Upper body pull-ish","13 Jan 2024, 10:21","13 Jan 2024, 11:27","","Incline Chest Press (Machine)",,"",0,"normal",65,6,,,
"Upper body pull-ish","13 Jan 2024, 10:21","13 Jan 2024, 11:27","","Leg Raise Parallel Bars",,"",0,"normal",,13,,,
"Upper body pull-ish","13 Jan 2024, 10:21","13 Jan 2024, 11:27","","Triceps Dip",,"",0,"normal",,4,,,
"Upper body pull-ish","13 Jan 2024, 10:21","13 Jan 2024, 11:27","","Preacher Curl (Machine)",,"",0,"normal",40,5,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Chest Press (Machine)",,"",0,"warmup",55,8,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Chest Press (Machine)",,"",1,"normal",75,10,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Chest Press (Machine)",,"",2,"normal",70,9,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Chest Press (Machine)",,"",3,"normal",70,9,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Seated Shoulder Press (Machine)",,"",0,"warmup",30,6,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Seated Shoulder Press (Machine)",,"",1,"normal",50,12,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Seated Shoulder Press (Machine)",,"",2,"normal",50,10,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Seated Shoulder Press (Machine)",,"",3,"normal",45,11,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Lat Pulldown (Machine)",0,"",0,"normal",100,8,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Lat Pulldown (Machine)",0,"",1,"normal",95,8,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Seated Row (Machine)",0,"",0,"normal",70,10,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Incline Chest Press (Machine)",,"",0,"normal",60,9,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Incline Chest Press (Machine)",,"",1,"normal",55,11,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Incline Chest Press (Machine)",,"",2,"normal",55,8,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Lateral Raise (Machine)",,"",0,"normal",47.5,8,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Lateral Raise (Machine)",,"",1,"normal",45,9,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Lateral Raise (Machine)",,"",2,"normal",45,10,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Crunch (Machine)",,"",0,"normal",55,15,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Crunch (Machine)",,"",1,"normal",60,6,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Triceps Extension (Cable)",,"",0,"normal",40,9,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Triceps Extension (Cable)",,"",1,"normal",35,8,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Triceps Extension (Cable)",,"",2,"normal",30,9,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Preacher Curl (Machine)",,"",0,"normal",40,12,,,9.5
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Preacher Curl (Machine)",,"",1,"normal",35,10,,,
"Upper body push-ish","11 Jan 2024, 14:49","11 Jan 2024, 16:56","","Preacher Curl (Machine)",,"",2,"normal",30,7,,,
"Leg focused","10 Jan 2024, 16:31","10 Jan 2024, 18:14","","Squat (Machine)",,"",0,"warmup",50,10,,,
"Leg focused","10 Jan 2024, 16:31","10 Jan 2024, 18:14","","Squat (Machine)",,"",1,"normal",90,11,,,
"Leg focused","10 Jan 2024, 16:31","10 Jan 2024, 18:14","","Squat (Machine)",,"",2,"normal",90,6,,,
"Leg focused","10 Jan 2024, 16:31","10 Jan 2024, 18:14","","Iso-Lateral kneeling leg curl",0,"",0,"normal",5,12,,,
"Leg focused","10 Jan 2024, 16:31","10 Jan 2024, 18:14","","Iso-Lateral kneeling leg curl",0,"",1,"normal",7.5,19,,,7
"Leg focused","10 Jan 2024, 16:31","10 Jan 2024, 18:14","","Iso-Lateral kneeling leg curl",0,"",2,"normal",10,12,,,
"Leg focused","10 Jan 2024, 16:31","10 Jan 2024, 18:14","","Hip Thrust (Machine)",0,"",0,"normal",90,11,,,6
"Leg focused","10 Jan 2024, 16:31","10 Jan 2024, 18:14","","Hip Thrust (Machine)",0,"",1,"normal",130,9,,,
"Leg focused","10 Jan 2024, 16:31","10 Jan 2024, 18:14","","Hip Thrust (Machine)",0,"",2,"normal",120,10,,,
